year,mileage,fuel_type,transmission,seller_type,car_condition,brand,price
2017,143999,Hybrid,Semi-Auto,Dealer,Good,BMW,16627
2009,184402,Petrol,Manual,Individual,Poor,Tesla,8454
2018,71707,Petrol,Automatic,Online Platform,Good,Tesla,28232
2016,70428,Electric,Semi-Auto,Online Platform,Poor,Toyota,7775
2018,55601,Diesel,Manual,Online Platform,Excellent,BMW,28177
2022,138611,Diesel,Semi-Auto,Online Platform,Excellent,Ford,12278
2004,116487,Petrol,Automatic,Dealer,Fair,BMW,15065
2020,158741,Hybrid,Manual,Individual,Fair,Tesla,13210
2022,156716,Hybrid,Manual,Online Platform,Excellent,BMW,18285
2008,154817,Petrol,Manual,Online Platform,Good,Tesla,16471
2011,33228,Petrol,Automatic,Individual,Good,BMW,27161
2020,170593,Diesel,Automatic,Dealer,Good,Ford,6589
2000,127788,Hybrid,Automatic,Online Platform,Excellent,Toyota,9847
2000,102239,Petrol,Manual,Dealer,Poor,Ford,7685
2014,31928,Petrol,Automatic,Dealer,Fair,Tesla,26432
2001,23322,Electric,Semi-Auto,Dealer,Poor,Hyundai,6733
2021,193786,Petrol,Automatic,Dealer,Excellent,Ford,7158
2015,92896,Petrol,Manual,Online Platform,Poor,BMW,13168
2007,67292,Hybrid,Semi-Auto,Online Platform,Good,Toyota,12562
2012,34055,Diesel,Automatic,Dealer,Good,BMW,25975
2020,47891,Hybrid,Semi-Auto,Dealer,Poor,BMW,13817
2000,86912,Diesel,Semi-Auto,Individual,Excellent,Ford,15827
2015,142660,Electric,Manual,Individual,Poor,Toyota,5131
2006,95536,Petrol,Semi-Auto,Individual,Good,Hyundai,8531
2004,11304,Electric,Semi-Auto,Online Platform,Good,BMW,31217
2021,12345,Diesel,Manual,Individual,Excellent,Toyota,18671
2022,165372,Hybrid,Manual,Online Platform,Poor,Hyundai,3121
2002,160331,Hybrid,Manual,Online Platform,Good,BMW,14265
2011,96006,Electric,Semi-Auto,Online Platform,Good,Toyota,9827
2015,151424,Diesel,Semi-Auto,Online Platform,Poor,Ford,4796
2018,134350,Electric,Semi-Auto,Individual,Poor,BMW,9071
2004,169437,Electric,Manual,Dealer,Fair,BMW,11305
2021,24446,Petrol,Automatic,Dealer,Excellent,Toyota,16805
2013,7336,Electric,Semi-Auto,Dealer,Excellent,BMW,36721
2004,67032,Petrol,Automatic,Individual,Poor,Hyundai,6502
2014,102852,Petrol,Manual,Dealer,Excellent,BMW,24557
2016,143593,Hybrid,Semi-Auto,Individual,Good,Tesla,16868
2013,159553,Petrol,Automatic,Individual,Poor,Hyundai,3743
2019,23474,Petrol,Semi-Auto,Individual,Poor,Toyota,7932
2004,182832,Hybrid,Semi-Auto,Dealer,Poor,Hyundai,3441
2011,60718,Electric,Semi-Auto,Dealer,Fair,Tesla,19572
2015,49629,Diesel,Automatic,Dealer,Excellent,Tesla,33904
2015,50232,Diesel,Manual,Online Platform,Fair,BMW,20728
2020,91544,Diesel,Semi-Auto,Individual,Good,BMW,22611
2006,55669,Electric,Manual,Online Platform,Excellent,Ford,16860
2003,74184,Petrol,Manual,Individual,Fair,Hyundai,6814
2000,184017,Diesel,Automatic,Dealer,Poor,Ford,4255
2004,18140,Electric,Automatic,Individual,Fair,Tesla,28979
2022,131468,Petrol,Manual,Individual,Poor,BMW,8727
2009,88457,Hybrid,Semi-Auto,Online Platform,Fair,BMW,16546
2021,19357,Diesel,Automatic,Individual,Fair,BMW,22763
2004,116672,Petrol,Semi-Auto,Dealer,Fair,Toyota,6855
2003,73673,Diesel,Semi-Auto,Individual,Poor,Tesla,15003
2001,126673,Diesel,Semi-Auto,Individual,Fair,BMW,13586
2019,70633,Diesel,Manual,Individual,Excellent,Tesla,32726
2009,101111,Petrol,Semi-Auto,Online Platform,Excellent,BMW,23515
2018,83258,Electric,Manual,Individual,Excellent,Hyundai,11458
2000,148996,Petrol,Manual,Individual,Poor,Tesla,11192
2004,74286,Diesel,Semi-Auto,Online Platform,Poor,Ford,8332
2012,98269,Petrol,Semi-Auto,Online Platform,Excellent,Toyota,13028
2003,79071,Hybrid,Semi-Auto,Online Platform,Excellent,Ford,16339
2015,193398,Electric,Semi-Auto,Online Platform,Excellent,Tesla,13993
2015,35651,Petrol,Manual,Dealer,Good,BMW,26040
2022,75202,Hybrid,Semi-Auto,Dealer,Excellent,Tesla,29099
2001,53777,Electric,Semi-Auto,Individual,Fair,Toyota,11051
2016,153066,Hybrid,Manual,Dealer,Good,Tesla,18771
2019,72263,Electric,Automatic,Individual,Good,BMW,18934
2011,195706,Petrol,Automatic,Dealer,Poor,Ford,4474
2017,105158,Hybrid,Manual,Online Platform,Fair,Hyundai,5531
2002,15800,Diesel,Automatic,Online Platform,Poor,Ford,10512
2000,42823,Hybrid,Manual,Dealer,Poor,BMW,13446
2000,68878,Electric,Semi-Auto,Dealer,Fair,BMW,17976
2018,23708,Petrol,Semi-Auto,Individual,Poor,Toyota,8892
2010,148891,Electric,Automatic,Individual,Fair,Tesla,16058
2004,68870,Hybrid,Semi-Auto,Individual,Fair,Tesla,22001
2011,14283,Hybrid,Automatic,Online Platform,Poor,Ford,10711
2002,166645,Diesel,Automatic,Online Platform,Excellent,Hyundai,5383
2000,83707,Petrol,Semi-Auto,Online Platform,Poor,Hyundai,5384
2000,167005,Petrol,Semi-Auto,Online Platform,Good,Toyota,7287
2007,10774,Hybrid,Automatic,Individual,Poor,BMW,19666
2009,147055,Petrol,Semi-Auto,Online Platform,Fair,Toyota,5743
2010,101468,Diesel,Manual,Online Platform,Good,Tesla,23190
2011,101334,Electric,Semi-Auto,Online Platform,Fair,BMW,15987
2012,23133,Petrol,Semi-Auto,Online Platform,Excellent,Toyota,17240
2011,151011,Hybrid,Manual,Dealer,Excellent,Ford,11678
2013,5781,Electric,Semi-Auto,Individual,Good,Tesla,36182
2001,119586,Electric,Semi-Auto,Individual,Excellent,Hyundai,9371
2018,192772,Diesel,Automatic,Online Platform,Excellent,Toyota,5100
2017,32624,Hybrid,Semi-Auto,Dealer,Poor,Tesla,15972
2002,11823,Petrol,Semi-Auto,Individual,Poor,Tesla,19632
2022,23489,Hybrid,Manual,Individual,Excellent,Hyundai,13247
2016,176033,Electric,Automatic,Online Platform,Excellent,Hyundai,5508
2007,34118,Hybrid,Automatic,Online Platform,Poor,Hyundai,6215
2009,105417,Petrol,Automatic,Individual,Excellent,Toyota,11372
2001,86816,Petrol,Semi-Auto,Individual,Excellent,Hyundai,10648
2018,158335,Diesel,Automatic,Dealer,Fair,Ford,6055
2008,18565,Petrol,Manual,Individual,Excellent,Tesla,39237
2006,156426,Petrol,Automatic,Individual,Good,Hyundai,5700
2003,179023,Hybrid,Manual,Online Platform,Fair,Tesla,12067
2020,96179,Hybrid,Automatic,Individual,Good,BMW,22124
2017,28648,Electric,Automatic,Online Platform,Excellent,BMW,35593
2012,186801,Diesel,Manual,Individual,Poor,Hyundai,2448
2010,46971,Hybrid,Automatic,Individual,Fair,Tesla,20816
2003,23658,Petrol,Automatic,Individual,Poor,BMW,16362
2020,26253,Electric,Automatic,Dealer,Fair,Hyundai,7997
2003,184635,Hybrid,Semi-Auto,Online Platform,Poor,Tesla,10946
2009,162462,Diesel,Manual,Dealer,Fair,Hyundai,3982
2004,93664,Diesel,Automatic,Individual,Fair,Tesla,20047
2008,187650,Electric,Manual,Dealer,Good,BMW,12636
2002,108850,Electric,Manual,Online Platform,Poor,Hyundai,4710
2016,168730,Electric,Manual,Individual,Good,BMW,16242
2002,142924,Electric,Automatic,Dealer,Good,Hyundai,6161
2015,138623,Electric,Automatic,Dealer,Poor,Toyota,4465
2003,76947,Petrol,Manual,Online Platform,Fair,BMW,16780
2017,66001,Petrol,Semi-Auto,Dealer,Good,BMW,24524
2016,185231,Hybrid,Manual,Online Platform,Poor,Ford,4029
2006,127775,Diesel,Semi-Auto,Individual,Fair,BMW,12714
2022,187779,Petrol,Manual,Individual,Good,Tesla,13864
2004,38243,Petrol,Manual,Dealer,Good,Hyundai,10895
2011,157872,Petrol,Manual,Individual,Good,Toyota,7309
2016,80939,Hybrid,Automatic,Individual,Fair,Tesla,21705
2022,62828,Electric,Semi-Auto,Dealer,Good,Tesla,27824
2012,143311,Hybrid,Semi-Auto,Individual,Fair,Tesla,13793
2022,11710,Diesel,Manual,Dealer,Excellent,Tesla,42064
2002,157456,Diesel,Automatic,Online Platform,Good,Toyota,6459
2008,157110,Diesel,Automatic,Online Platform,Excellent,Ford,9068
2016,176918,Diesel,Semi-Auto,Online Platform,Poor,BMW,8425
2016,42991,Petrol,Automatic,Dealer,Good,Tesla,29375
2019,143043,Petrol,Semi-Auto,Dealer,Poor,BMW,10916
2015,165211,Hybrid,Semi-Auto,Individual,Poor,BMW,8858
2021,90445,Electric,Semi-Auto,Individual,Poor,Tesla,14223
2012,85257,Diesel,Automatic,Individual,Excellent,Ford,15986
2018,42711,Hybrid,Semi-Auto,Individual,Fair,BMW,23617
2016,11530,Petrol,Semi-Auto,Individual,Excellent,Hyundai,14389
2003,16116,Petrol,Manual,Dealer,Excellent,BMW,35113
2011,70794,Electric,Semi-Auto,Dealer,Poor,Tesla,15419
2008,136354,Electric,Semi-Auto,Online Platform,Good,Toyota,9565
2018,137970,Electric,Manual,Online Platform,Fair,BMW,14543
2011,9135,Hybrid,Manual,Online Platform,Poor,Ford,10154
2008,142701,Petrol,Automatic,Online Platform,Fair,Hyundai,5936
2006,114472,Petrol,Semi-Auto,Dealer,Excellent,Hyundai,9023
2013,130147,Electric,Automatic,Dealer,Fair,Toyota,6289
2019,94087,Diesel,Automatic,Dealer,Fair,Toyota,7877
2018,38380,Electric,Manual,Individual,Good,BMW,27478
2014,134951,Hybrid,Automatic,Individual,Poor,Tesla,10678
2015,22071,Electric,Semi-Auto,Online Platform,Fair,Ford,12546
2020,25074,Electric,Manual,Individual,Fair,Hyundai,8586
2004,72843,Hybrid,Semi-Auto,Dealer,Excellent,Toyota,13368
2002,44901,Electric,Semi-Auto,Online Platform,Excellent,Ford,17639
2011,16205,Petrol,Manual,Online Platform,Fair,Tesla,25852
2019,191733,Diesel,Semi-Auto,Individual,Poor,Hyundai,2928
2020,129661,Electric,Manual,Online Platform,Fair,Hyundai,5573
2003,10906,Hybrid,Semi-Auto,Individual,Fair,Tesla,26260
2020,138663,Diesel,Manual,Individual,Good,Hyundai,6196
2022,130576,Hybrid,Automatic,Online Platform,Poor,Tesla,11721
2015,67987,Diesel,Semi-Auto,Individual,Good,Hyundai,9235
2006,199442,Diesel,Manual,Individual,Poor,BMW,5970
2012,85685,Electric,Semi-Auto,Individual,Poor,Tesla,15926
2020,115454,Petrol,Semi-Auto,Individual,Poor,Ford,6750
2009,110487,Electric,Semi-Auto,Online Platform,Good,BMW,19290
2006,59400,Hybrid,Manual,Dealer,Good,Ford,15720
2013,161222,Hybrid,Automatic,Dealer,Good,Hyundai,6677
2004,36852,Diesel,Automatic,Individual,Excellent,Ford,17617
2002,178942,Diesel,Automatic,Individual,Good,BMW,9737
2022,57756,Petrol,Manual,Individual,Excellent,Tesla,33180
2010,120357,Electric,Automatic,Dealer,Excellent,Toyota,11483
2010,124052,Hybrid,Manual,Individual,Excellent,Ford,13074
2017,61481,Diesel,Semi-Auto,Online Platform,Fair,Toyota,10173
2014,6283,Petrol,Semi-Auto,Online Platform,Fair,Ford,13815
2011,38691,Hybrid,Automatic,Online Platform,Fair,Ford,11134
2008,137197,Diesel,Manual,Dealer,Excellent,Tesla,19922
2009,31170,Hybrid,Semi-Auto,Individual,Excellent,Hyundai,13310
2011,13438,Petrol,Manual,Individual,Poor,BMW,18149
2016,25095,Petrol,Manual,Individual,Excellent,BMW,29556
2005,152226,Hybrid,Semi-Auto,Dealer,Fair,BMW,13514
2006,144076,Electric,Manual,Dealer,Excellent,Hyundai,7818
2013,14752,Hybrid,Semi-Auto,Dealer,Excellent,Toyota,17051
2012,60426,Diesel,Semi-Auto,Dealer,Poor,BMW,13810
2007,31819,Electric,Semi-Auto,Online Platform,Excellent,Toyota,17522
2009,97051,Diesel,Manual,Dealer,Good,Hyundai,8656
2008,160289,Hybrid,Semi-Auto,Dealer,Poor,Hyundai,3529
2017,37994,Electric,Manual,Dealer,Excellent,Tesla,35144
2001,151108,Diesel,Semi-Auto,Individual,Excellent,BMW,20772
2004,102756,Hybrid,Semi-Auto,Individual,Poor,Tesla,13838
2004,185488,Hybrid,Automatic,Individual,Excellent,BMW,14279
2005,145659,Electric,Automatic,Online Platform,Fair,Hyundai,4973
2018,100665,Hybrid,Automatic,Online Platform,Good,Hyundai,7514
2007,136717,Petrol,Manual,Dealer,Good,Ford,10084
2015,167002,Diesel,Manual,Individual,Fair,Ford,6885
2012,86835,Diesel,Semi-Auto,Online Platform,Excellent,Hyundai,9913
2000,127232,Hybrid,Semi-Auto,Individual,Excellent,Hyundai,8461
2021,166162,Hybrid,Semi-Auto,Online Platform,Good,Toyota,6735
2019,188214,Petrol,Semi-Auto,Online Platform,Excellent,Toyota,7530
2016,162547,Electric,Manual,Dealer,Good,Tesla,15513
2006,154960,Hybrid,Semi-Auto,Dealer,Good,Ford,8906
2012,48732,Hybrid,Semi-Auto,Online Platform,Fair,Ford,12375
2003,51305,Hybrid,Automatic,Dealer,Good,Hyundai,9754
2003,182109,Hybrid,Semi-Auto,Online Platform,Excellent,Hyundai,5064
2005,14346,Diesel,Semi-Auto,Online Platform,Excellent,Tesla,38600
2018,5587,Hybrid,Semi-Auto,Individual,Poor,Ford,10819
2011,17763,Diesel,Manual,Dealer,Excellent,Toyota,16722
2021,195237,Hybrid,Automatic,Dealer,Poor,BMW,6062
2006,74615,Electric,Semi-Auto,Dealer,Good,Tesla,27352
2009,172188,Petrol,Semi-Auto,Individual,Excellent,BMW,17172
2018,125987,Electric,Automatic,Individual,Fair,Toyota,7675
2006,96353,Hybrid,Semi-Auto,Individual,Fair,Toyota,7778
2002,100648,Hybrid,Manual,Dealer,Fair,BMW,17055
2012,30556,Hybrid,Semi-Auto,Dealer,Good,Tesla,35083
2012,64042,Electric,Manual,Dealer,Good,BMW,23784
2017,23099,Hybrid,Manual,Individual,Poor,Tesla,19306
2019,114089,Electric,Semi-Auto,Individual,Fair,Tesla,16957
2007,181168,Diesel,Automatic,Online Platform,Poor,Hyundai,2469
2008,149302,Petrol,Manual,Individual,Poor,Ford,5879
2006,165081,Petrol,Automatic,Online Platform,Excellent,Ford,9639
2000,38866,Electric,Semi-Auto,Dealer,Excellent,Toyota,15533
2002,110400,Diesel,Manual,Individual,Fair,Hyundai,6397
2012,89246,Electric,Semi-Auto,Dealer,Good,Ford,13346
2016,81975,Diesel,Automatic,Dealer,Excellent,Tesla,29261
2000,177927,Hybrid,Semi-Auto,Dealer,Good,Tesla,13232
2005,86557,Diesel,Semi-Auto,Dealer,Poor,BMW,12247
2020,142488,Diesel,Manual,Individual,Poor,BMW,11352
2005,77516,Diesel,Semi-Auto,Dealer,Poor,Tesla,17124
2011,191987,Petrol,Semi-Auto,Online Platform,Poor,Tesla,8303
2012,154130,Diesel,Semi-Auto,Individual,Fair,BMW,11219
2012,176790,Hybrid,Manual,Dealer,Poor,Ford,4296
2014,37602,Hybrid,Automatic,Individual,Excellent,Toyota,16070
2020,194139,Hybrid,Automatic,Online Platform,Poor,BMW,8339
2015,163588,Diesel,Semi-Auto,Dealer,Good,Ford,8444
2021,134295,Electric,Manual,Online Platform,Excellent,Ford,12480
2020,92969,Electric,Semi-Auto,Dealer,Good,Ford,10127
2010,137161,Hybrid,Automatic,Online Platform,Good,Hyundai,6668
2004,173418,Petrol,Manual,Dealer,Fair,Hyundai,3381
2003,146559,Electric,Automatic,Individual,Fair,Ford,7014
2002,5155,Diesel,Automatic,Dealer,Good,Tesla,34480
2018,128950,Electric,Manual,Individual,Good,Hyundai,6660
2019,72494,Hybrid,Manual,Dealer,Poor,BMW,13077
2017,81229,Petrol,Semi-Auto,Dealer,Excellent,Hyundai,10049
2014,109648,Electric,Semi-Auto,Online Platform,Poor,Tesla,13103
2008,43547,Electric,Automatic,Online Platform,Fair,Toyota,10105
2016,33795,Hybrid,Manual,Online Platform,Fair,Hyundai,8528
2013,191368,Petrol,Manual,Dealer,Poor,Ford,3881
2014,26447,Petrol,Semi-Auto,Dealer,Excellent,Ford,21077
2000,172670,Hybrid,Automatic,Dealer,Good,Ford,5795
2020,177886,Diesel,Automatic,Individual,Poor,Toyota,3773
2021,92960,Electric,Semi-Auto,Individual,Fair,Tesla,19423
2021,68278,Diesel,Manual,Dealer,Excellent,BMW,27565
2002,60077,Electric,Semi-Auto,Online Platform,Fair,Tesla,21404
2015,117782,Electric,Semi-Auto,Online Platform,Excellent,Toyota,10798
2022,107932,Diesel,Semi-Auto,Online Platform,Excellent,Ford,12064
2010,145600,Hybrid,Semi-Auto,Dealer,Excellent,Tesla,22050
2011,186172,Hybrid,Manual,Online Platform,Poor,BMW,7178
2009,114869,Electric,Semi-Auto,Dealer,Poor,Ford,6284
2015,144251,Hybrid,Manual,Individual,Poor,BMW,11091
2007,53781,Electric,Semi-Auto,Online Platform,Excellent,Hyundai,11731
2005,191339,Hybrid,Automatic,Individual,Excellent,BMW,13118
2011,160024,Electric,Manual,Online Platform,Fair,Ford,7680
2020,58798,Hybrid,Automatic,Dealer,Good,Hyundai,10933
2007,103696,Petrol,Semi-Auto,Dealer,Poor,Ford,6460
2003,55939,Diesel,Semi-Auto,Dealer,Excellent,Ford,16949
2007,34516,Petrol,Semi-Auto,Dealer,Fair,Hyundai,8446
2017,192598,Diesel,Manual,Online Platform,Fair,BMW,7700
2004,146521,Diesel,Automatic,Individual,Fair,Toyota,6646
2008,55290,Electric,Manual,Dealer,Poor,Toyota,6957
2003,131688,Diesel,Manual,Online Platform,Poor,Toyota,5619
2021,91661,Petrol,Semi-Auto,Individual,Good,Toyota,10884
2016,77954,Petrol,Automatic,Dealer,Fair,Tesla,22353
2008,27746,Hybrid,Semi-Auto,Individual,Poor,Toyota,7785
2000,72990,Petrol,Manual,Dealer,Fair,Hyundai,7080
2020,63810,Hybrid,Semi-Auto,Individual,Excellent,Toyota,14979
2019,123362,Diesel,Automatic,Individual,Fair,Ford,8994
2012,151295,Petrol,Semi-Auto,Dealer,Good,Toyota,7220
2015,138669,Diesel,Automatic,Online Platform,Poor,BMW,9549
2012,7659,Petrol,Automatic,Individual,Excellent,Hyundai,13719
2013,91516,Petrol,Semi-Auto,Dealer,Poor,Hyundai,4941
2002,79567,Hybrid,Manual,Individual,Excellent,Tesla,28833
2005,20037,Diesel,Semi-Auto,Individual,Fair,Ford,12622
2017,131498,Petrol,Manual,Online Platform,Fair,Hyundai,5874
2018,182810,Electric,Manual,Individual,Good,BMW,11410
2004,17109,Diesel,Semi-Auto,Individual,Good,Toyota,15008
2014,27010,Diesel,Manual,Dealer,Excellent,Hyundai,13532
2001,13787,Diesel,Manual,Dealer,Good,BMW,29089
2009,144544,Hybrid,Semi-Auto,Online Platform,Good,Toyota,7240
2017,159455,Electric,Semi-Auto,Individual,Good,Tesla,14278
2012,66709,Diesel,Semi-Auto,Individual,Good,Hyundai,9057
2004,39518,Petrol,Manual,Individual,Fair,Hyundai,9070
2022,58909,Petrol,Automatic,Online Platform,Good,BMW,25442
2000,23351,Hybrid,Manual,Individual,Fair,Ford,12882
2021,189402,Petrol,Automatic,Dealer,Fair,Tesla,9698
2000,20282,Diesel,Semi-Auto,Online Platform,Poor,Ford,9568
2017,157850,Petrol,Automatic,Dealer,Fair,Hyundai,3806
2014,160336,Diesel,Semi-Auto,Dealer,Fair,Ford,6777
2016,195747,Petrol,Semi-Auto,Online Platform,Good,Toyota,6506
2010,10075,Electric,Automatic,Dealer,Fair,Tesla,29492
2020,184526,Hybrid,Semi-Auto,Individual,Excellent,Ford,8970
2021,33365,Hybrid,Automatic,Online Platform,Good,Toyota,12879
2016,184272,Electric,Semi-Auto,Dealer,Good,BMW,9398
2012,16002,Electric,Manual,Individual,Good,Ford,17982
2000,18947,Hybrid,Manual,Individual,Poor,Tesla,20143
2001,99840,Electric,Semi-Auto,Dealer,Good,Toyota,9770
2008,121219,Diesel,Semi-Auto,Individual,Fair,Ford,8233
2002,83610,Petrol,Automatic,Online Platform,Excellent,BMW,27047
2000,57142,Hybrid,Manual,Dealer,Good,Ford,13827
2020,61307,Electric,Automatic,Individual,Good,Toyota,12114
2015,140565,Diesel,Semi-Auto,Individual,Excellent,Ford,10161
2022,55085,Hybrid,Semi-Auto,Dealer,Good,Tesla,32473
2005,39228,Electric,Automatic,Dealer,Poor,Hyundai,6011
2016,187947,Hybrid,Semi-Auto,Dealer,Fair,Toyota,4871
2004,167727,Electric,Manual,Dealer,Excellent,Toyota,6858
2004,48472,Hybrid,Automatic,Online Platform,Excellent,Toyota,14944
2005,54437,Diesel,Manual,Dealer,Poor,Toyota,7764
2002,185488,Diesel,Manual,Online Platform,Fair,Ford,6289
2020,64711,Petrol,Manual,Online Platform,Poor,Tesla,17271
2022,142888,Hybrid,Automatic,Dealer,Fair,BMW,12403
2004,82175,Petrol,Semi-Auto,Online Platform,Poor,Tesla,14548
2020,69307,Hybrid,Manual,Dealer,Good,Toyota,10726
2004,51733,Electric,Manual,Dealer,Poor,Ford,9749
2009,133202,Electric,Manual,Individual,Excellent,Ford,12121
2009,100028,Petrol,Semi-Auto,Dealer,Excellent,Toyota,12257
2018,147312,Hybrid,Semi-Auto,Individual,Excellent,Ford,12252
2016,97493,Petrol,Automatic,Online Platform,Poor,Toyota,6339
2020,130149,Diesel,Semi-Auto,Individual,Excellent,Tesla,23511
2013,168834,Petrol,Automatic,Online Platform,Excellent,Hyundai,6831
2008,13259,Petrol,Automatic,Dealer,Good,Ford,16644
2013,186211,Electric,Automatic,Online Platform,Good,Toyota,4526
2000,133775,Petrol,Automatic,Online Platform,Fair,Toyota,7496
2018,19849,Hybrid,Automatic,Dealer,Fair,Ford,13059
2012,86768,Electric,Manual,Online Platform,Fair,BMW,16693
2012,111108,Petrol,Semi-Auto,Dealer,Poor,Toyota,5569
2003,94709,Diesel,Manual,Individual,Fair,Ford,9420
2000,59869,Petrol,Automatic,Dealer,Poor,Toyota,7699
2016,131888,Petrol,Semi-Auto,Dealer,Poor,BMW,10423
2007,68095,Petrol,Manual,Online Platform,Fair,Hyundai,7275
2001,122886,Electric,Manual,Individual,Fair,BMW,12638
2007,75910,Hybrid,Automatic,Dealer,Poor,Tesla,16005
2006,28567,Diesel,Manual,Individual,Good,Ford,14080
2001,40292,Petrol,Manual,Individual,Excellent,BMW,31583
2021,79813,Hybrid,Manual,Online Platform,Excellent,Hyundai,11536
2021,102136,Hybrid,Manual,Dealer,Excellent,Toyota,11929
2002,56631,Electric,Manual,Online Platform,Good,Ford,15687
2017,14885,Diesel,Automatic,Dealer,Poor,BMW,16000
2011,195731,Electric,Automatic,Individual,Fair,Hyundai,4315
2000,190378,Hybrid,Manual,Dealer,Poor,BMW,7564
2021,71314,Hybrid,Automatic,Dealer,Poor,Tesla,16507
2011,70087,Hybrid,Automatic,Individual,Fair,Ford,10604
2004,165237,Electric,Semi-Auto,Individual,Good,Toyota,6164
2016,195001,Diesel,Manual,Dealer,Excellent,Hyundai,4988
2015,100998,Petrol,Automatic,Online Platform,Excellent,BMW,26045
2014,54812,Electric,Automatic,Dealer,Poor,Ford,8116
2022,186572,Hybrid,Manual,Individual,Good,BMW,11358
2014,63643,Electric,Semi-Auto,Online Platform,Excellent,Ford,17810
2004,49900,Hybrid,Manual,Individual,Good,Tesla,30804
2020,179018,Petrol,Semi-Auto,Individual,Fair,BMW,10556
2013,143923,Petrol,Manual,Online Platform,Poor,Tesla,9436
2001,21288,Diesel,Manual,Individual,Poor,Hyundai,7096
2010,77692,Hybrid,Manual,Individual,Good,Tesla,26053
2018,143440,Diesel,Manual,Individual,Excellent,Ford,10099
2006,90436,Diesel,Semi-Auto,Individual,Good,Hyundai,8368
2005,51403,Petrol,Semi-Auto,Individual,Fair,BMW,17537
2001,96170,Electric,Automatic,Individual,Excellent,BMW,25500
2005,14168,Electric,Manual,Individual,Excellent,Ford,20441
2017,54879,Diesel,Semi-Auto,Individual,Good,Toyota,11303
2001,64871,Petrol,Semi-Auto,Individual,Fair,Toyota,9231
2017,37174,Hybrid,Semi-Auto,Dealer,Excellent,BMW,30265
2014,142653,Electric,Manual,Dealer,Poor,Ford,5316
2018,115155,Diesel,Automatic,Individual,Fair,Toyota,6037
2001,76853,Electric,Semi-Auto,Dealer,Excellent,Tesla,27729
2019,69046,Electric,Manual,Online Platform,Good,BMW,22750
2005,54678,Hybrid,Semi-Auto,Dealer,Excellent,Tesla,33501
2000,31649,Petrol,Semi-Auto,Individual,Poor,Ford,10186
2014,132795,Hybrid,Automatic,Individual,Fair,Tesla,14721
2022,93668,Petrol,Semi-Auto,Dealer,Excellent,Toyota,11905
2009,150639,Electric,Semi-Auto,Individual,Poor,Toyota,4264
2018,94906,Diesel,Manual,Online Platform,Excellent,Hyundai,9702
2016,101019,Hybrid,Manual,Online Platform,Excellent,BMW,24042
2004,198016,Petrol,Automatic,Individual,Fair,Ford,4602
2003,83002,Electric,Manual,Online Platform,Good,BMW,22556
2009,33803,Petrol,Manual,Online Platform,Good,Tesla,35081
2016,154302,Petrol,Automatic,Dealer,Poor,Ford,4799
2009,153934,Petrol,Semi-Auto,Online Platform,Poor,Ford,5469
2016,179427,Electric,Automatic,Dealer,Poor,Toyota,3630
2019,167331,Diesel,Manual,Individual,Fair,Tesla,13848
2004,35795,Diesel,Automatic,Dealer,Good,Toyota,13362
2001,13770,Diesel,Semi-Auto,Individual,Poor,Toyota,8259
2005,16093,Petrol,Automatic,Individual,Poor,Hyundai,6394
2020,182643,Electric,Manual,Individual,Excellent,Toyota,7590
2001,136265,Petrol,Manual,Individual,Excellent,BMW,17697
2012,105311,Diesel,Automatic,Individual,Poor,Ford,7648
2010,22569,Diesel,Semi-Auto,Dealer,Excellent,Toyota,17143
2010,16190,Electric,Automatic,Individual,Excellent,BMW,34213
2015,67824,Petrol,Semi-Auto,Online Platform,Excellent,Tesla,29748
2010,178824,Hybrid,Semi-Auto,Online Platform,Fair,Ford,6302
2018,168399,Hybrid,Automatic,Individual,Poor,Tesla,10909
2014,47070,Diesel,Semi-Auto,Online Platform,Poor,BMW,14793
2022,45197,Electric,Manual,Dealer,Excellent,Tesla,34114
2022,7261,Petrol,Automatic,Dealer,Fair,Tesla,27193
2015,162584,Petrol,Semi-Auto,Individual,Excellent,Tesla,20218
2010,142788,Diesel,Manual,Individual,Fair,Toyota,5969
2021,91795,Diesel,Automatic,Individual,Poor,Toyota,6650
2015,33933,Petrol,Manual,Online Platform,Excellent,Toyota,17683
2007,140450,Petrol,Manual,Online Platform,Poor,Ford,5922
2003,45583,Diesel,Manual,Dealer,Fair,BMW,19963
2007,117082,Petrol,Semi-Auto,Online Platform,Good,Toyota,9475
2003,90371,Hybrid,Automatic,Dealer,Fair,Tesla,21213
2002,165105,Diesel,Automatic,Online Platform,Good,Tesla,16017
2002,160072,Petrol,Semi-Auto,Dealer,Poor,Tesla,10304
2017,116032,Diesel,Automatic,Individual,Poor,Tesla,13617
2018,47604,Electric,Manual,Online Platform,Excellent,Hyundai,11484
2018,100074,Diesel,Automatic,Dealer,Good,Ford,12408
2020,78869,Diesel,Semi-Auto,Online Platform,Fair,BMW,16080
2004,10410,Electric,Manual,Individual,Poor,BMW,16782
2017,88375,Hybrid,Semi-Auto,Dealer,Good,Toyota,11440
2009,192116,Petrol,Manual,Online Platform,Fair,Hyundai,3870
2021,199387,Electric,Manual,Online Platform,Good,BMW,9656
2020,101055,Diesel,Automatic,Individual,Fair,Ford,10777
2005,142868,Petrol,Manual,Individual,Fair,Tesla,12831
2000,91716,Electric,Semi-Auto,Dealer,Fair,Toyota,8208
